year,code,amount,name,topname,depname,depcat,cat,ref
2017,110.110.3858c5.95,324000000,内廷費,皇室費,皇室費,その他の事項経費,その他の事項経費,(内廷費)100.0%
2017,110.110.5cfbc0.95,5821664000,宮廷費,皇室費,皇室費,その他の事項経費,その他の事項経費,施設整備費38.0% 庁費32.2% 各所修繕23.1% 報償費4.1% 招宴費1.1% 交際費1.0% 諸謝金0.4% 自動車重量税0.0%
2017,110.110.978e72.95,214720000,皇族費,皇室費,皇室費,その他の事項経費,その他の事項経費,(皇族費)100.0%
2017,862.99f.99f9b5.95,64597250000,衆議院,国会,衆議院,その他の事項経費,その他の事項経費,議員秘書手当19.1% 議員歳費15.9% 職員基本給13.2% 議員文書通信交通滞在費8.8% 職員諸手当6.5% 立法事務費5.7% 公共施設等維持管理運営費5.7% 議員会館管理等運営庁費5.3% 国家公務員共済組合負担金3.7% 情報処理業務庁費2.7% 超過勤務手当2.2% 退職手当2.1% 庁費1.5% 議員特殊乗車券等購入費1.4% 議案類印刷費1.1% 国有資産所在市町村交付金0.9% 基礎年金等国家公務員共済組合負担金0.8% 国政調査活動費0.6% 議員旅費0.5% 議員秘書退職手当0.5% 非常勤職員手当0.3% 職員旅費0.2% 短時間勤務職員給与0.2% 列国議会同盟分担金0.2% 各所修繕0.1% 招へい外国人滞在費0.1% 児童手当0.1% 交際費0.1% 弔慰金0.1% 休職者給与0.1% 議会雑費0.0% 公務災害補償費0.0% 国会活動啓発費0.0% 証人等旅費0.0% 諸謝金0.0% 赴任旅費0.0% 賠償償還及払戻金0.0% 自動車重量税0.0% 育児休業手当金国家公務員共済組合負担金0.0%
2017,862.99f.8562ed.95,9181405000,衆議院施設費,国会,衆議院,その他の事項経費,その他の事項経費,不動産購入費88.1% 施設整備費11.6% 施設施工庁費0.3% 施設施工旅費0.0%
2017,862.99f.9f3708.95,7000000,衆議院予備経費,国会,衆議院,その他の事項経費,その他の事項経費,(国会予備経費)100.0%
2017,862.b99.b99a7e.95,38038346000,参議院,国会,参議院,その他の事項経費,その他の事項経費,職員基本給17.0% 議員秘書手当16.1% 議員歳費13.8% 職員諸手当8.6% 議員文書通信交通滞在費7.6% 議員会館管理等運営庁費6.7% 立法事務費5.0% 国家公務員共済組合負担金4.5% 公共施設等維持管理運営費3.5% 超過勤務手当2.9% 情報処理業務庁費2.7% 退職手当2.6% 庁費1.6% 議案類印刷費1.2% 議員特殊乗車券等購入費1.2% 基礎年金等国家公務員共済組合負担金1.0% 国有資産所在市町村交付金0.8% 国政調査活動費0.6% 議員旅費0.4% 非常勤職員手当0.4% 議員秘書退職手当0.4% 職員旅費0.2% 各所修繕0.2% 短時間勤務職員給与0.1% 招へい外国人滞在費0.1% 児童手当0.1% 弔慰金0.1% 休職者給与0.1% 交際費0.1% 議会雑費0.1% 国会活動啓発費0.1% 証人等旅費0.0% 諸謝金0.0% 公務災害補償費0.0% 赴任旅費0.0% 賠償償還及払戻金0.0% 育児休業手当金国家公務員共済組合負担金0.0% 自動車重量税0.0%
2017,862.b99.04a7cf.95,5758207000,参議院施設費,国会,参議院,その他の事項経費,その他の事項経費,不動産購入費74.1% 施設整備費24.2% 施設施工庁費1.7% 施設施工旅費0.0%
2017,862.b99.fc0911.95,5000000,参議院予備経費,国会,参議院,その他の事項経費,その他の事項経費,(国会予備経費)100.0%
2017,862.66c.66cf32.95,16850200000,国立国会図書館(その他の事項経費),国会,国立国会図書館,その他の事項経費,その他の事項経費,国立国会図書館業務庁費27.5% 職員基本給26.8% 職員諸手当14.2% 国家公務員共済組合負担金6.9% 電子計算機等借料6.7% 図書館資料購入費4.7% 超過勤務手当2.7% 退職手当2.4% 納入出版物代償金2.3% 基礎年金等国家公務員共済組合負担金1.6% 非常勤職員手当1.1% 各所修繕0.5% 特殊文書関係資料整備費0.4% 立法資料購入費0.4% 職員旅費0.3% 庁費0.3% 短時間勤務職員給与0.3% 休職者給与0.2% 児童手当0.2% 諸謝金0.1% 国際図書館連盟等拠出金0.1% 赴任旅費0.1% 外国人招へい旅費0.0% 招へい外国人滞在費0.0% 委員等旅費0.0% 国有資産所在市町村交付金0.0% 公務災害補償費0.0% 交際費0.0% 自動車重量税0.0% 賠償償還及払戻金0.0% 育児休業手当金国家公務員共済組合負担金0.0%
2017,862.66c.66cf32.13,1093437000,国立国会図書館(科学技術振興費),国会,国立国会図書館,科学技術振興費,文教及び科学振興費,科学技術関係資料費100.0%
2017,862.66c.4c8584.95,4118176000,国立国会図書館施設費,国会,国立国会図書館,その他の事項経費,その他の事項経費,施設整備費99.1% 施設施工庁費0.9% 施設施工旅費0.0%
2017,862.4fa.4faf36.95,124920000,裁判官訴追委員会,国会,裁判官訴追委員会,その他の事項経費,その他の事項経費,職員基本給55.7% 職員諸手当27.2% 非常勤職員手当6.5% 庁費3.8% 超過勤務手当3.6% 職務雑費0.7% 委員旅費0.7% 職員旅費0.7% 児童手当0.7% 証人等旅費0.3% 諸謝金0.1%
2017,862.8af.8af090.95,107243000,裁判官弾劾裁判所,国会,裁判官弾劾裁判所,その他の事項経費,その他の事項経費,職員基本給59.0% 職員諸手当31.9% 庁費4.6% 超過勤務手当2.8% 職務雑費0.8% 職員旅費0.4% 委員旅費0.3% 諸謝金0.1% 児童手当0.1% 証人等旅費0.0% 自動車重量税0.0%
