所管,組織,,,,,,,,                             項目,,"平成30年度
成立予算額(千円)",補正要求,,,"改平成30年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
裁判所,裁判所,,,,,,,,,,"321,210,516","273,900",0,"273,900","321,484,416"
,,001,,,,,,,最高裁判所,,"79,007,093",0,0,0,"79,007,093"
,,002,,,,,,,下級裁判所,,"207,438,242",0,0,0,"207,438,242"
,,003,,,,,,,検察審査費,,"314,120",0,0,0,"314,120"
,,004,,,,,,,裁判費,,"19,050,740",0,0,0,"19,050,740"
,,005,,,,,,,裁判所施設費,,"15,392,321","273,900",0,"273,900","15,666,221"
,,,95,014,1,20,4,15,,施設整備費,"14,192,902","273,900",0,"273,900","14,466,802"
,,,95,014,1,20,2,08,,施設施工旅費外2目,"1,199,419",0,0,0,"1,199,419"
,,009,,,,,,,裁判所予備経費,,"8,000",0,0,0,"8,000"
内閣府,内閣本府,,,,,,,,,,"461,674,140","18,909,380",0,"18,909,380","480,583,520"
,,001,,,,,,,内閣本府共通費,,"36,994,125",0,0,0,"36,994,125"
,,002,,,,,,,内閣本府施設費,,"2,565,128",0,0,0,"2,565,128"
,,003,,,,,,,公文書等管理政策費,,"20,519",0,0,0,"20,519"
,,004,,,,,,,独立行政法人国立公文書館運営費,,"2,044,421",0,0,0,"2,044,421"
,,005,,,,,,,政府広報費,,"8,345,177","900,978",0,"900,978","9,246,155"
,,,95,016,2,12,3,09,,啓発広報費,"7,667,964","900,978",0,"900,978","8,568,942"
,,,95,016,2,12,9,06,,諸謝金外4目,"677,213",0,0,0,"677,213"
,,007,,,,,,,経済財政政策費,,"787,342",0,0,0,"787,342"
,,009,,,,,,,地方創生支援費,,"1,353,919",0,0,0,"1,353,919"
,,012,,,,,,,科学技術・イノベーション政策費,,"560,845",0,0,0,"560,845"
,,196,,,,,,,科学技術イノベーション創造推進費,,"55,500,000",0,0,0,"55,500,000"
,,006,,,,,,,遺棄化学兵器廃棄処理事業費,,"39,329,744",0,0,0,"39,329,744"
,,013,,,,,,,防災政策費,,"6,106,211","15,541,129",0,"15,541,129","21,647,340"
,,,95,053,2,71,5,16,,被災者生活再建支援金補助金,"600,000","9,956,920",0,"9,956,920","10,556,920"
,,,95,088,2,86,5,16,,災害救助費等負担金,"1,882,379","4,594,158",0,"4,594,158","6,476,537"
,,,95,088,2,84,5,16,,災害弔慰金等負担金,"140,000","185,000",0,"185,000","325,000"
,,,95,088,1,95,9,23,,災害援護貸付金,"150,000","805,051",0,"805,051","955,051"
,,,95,016,2,12,2,08,,職員旅費外9目,"3,333,832",0,0,0,"3,333,832"
,,193,,,,,,,電源開発促進税財源原子力安全規制対策費エネルギー対策特別会計へ繰入,,"8,220,000",0,0,0,"8,220,000"
,,015,,,,,,,沖縄政策費,,"31,123,593",0,0,0,"31,123,593"
,,187,,,,,,,沖縄振興交付金事業推進費,,"118,780,000",0,0,0,"118,780,000"
,,188,,,,,,,沖縄北部連携促進特別振興事業費,,"2,572,000",0,0,0,"2,572,000"
,,189,,,,,,,沖縄振興推進調査費,,"61,714",0,0,0,"61,714"
,,022,,,,,,,沖縄教育振興事業費,,"7,996,396","2,467,273",0,"2,467,273","10,463,669"
,,,14,071,1,82,5,16,,ブロック塀・冷房設備対応臨時特例交付金,0,"2,467,273",0,"2,467,273","2,467,273"
,,,14,071,1,82,5,16,,公立学校施設整備費負担金外1目,"7,996,396",0,0,0,"7,996,396"
,,023,,,,,,,沖縄保健衛生諸費,,"2,195",0,0,0,"2,195"
,,197,,,,,,,沖縄国立大学法人施設整備費,,"305,030",0,0,0,"305,030"
