所管,組織,,,,,,,,,                        項目,平成31年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,,,,,,,,,,"11,737,259","9,859,615","1,877,644"
,,001,,,,,,,内廷費,,"324,000","324,000",0
,,,95,011,2,12,9,99,,(内廷費),"324,000","324,000",0
,,002,,,,,,,宮廷費,,"11,149,027","9,171,445","1,977,582"
,,,95,011,2,12,9,06,,諸謝金,"164,970","38,457","126,513"
,,,95,011,2,95,9,07,,報償費,"673,238","318,877","354,361"
,,,95,011,2,12,3,09,,庁費,"4,104,493","3,938,408","166,085"
,,,95,011,2,12,3,09,,招宴費,"135,596","68,492","67,104"
,,,95,011,2,12,3,09,,各所修繕,"1,381,442","1,329,719","51,723"
,,,95,199,2,13,3,09,,自動車重量税,"1,502","1,448",54
,,,95,011,2,20,4,15,,施設整備費,"4,640,761","3,417,261","1,223,500"
,,,95,011,2,12,9,17,,交際費,"47,025","58,783","△ 11,758"
,,003,,,,,,,皇族費,,"264,232","364,170","△ 99,938"
,,,95,011,2,12,9,99,,(皇族費),"264,232","364,170","△ 99,938"
国会,衆議院,,,,,,,,,,"73,574,157","73,351,378","222,779"
,,001,,,,,,,衆議院,,"64,404,501","64,150,434","254,067"
,,,95,012,2,11,1,01,,議員歳費,"10,162,983","10,119,274","43,709"
,,,95,012,2,11,1,02,,職員基本給,"8,764,338","8,680,085","84,253"
,,,95,012,2,11,1,03,,職員諸手当,"4,479,343","4,354,204","125,139"
,,,95,012,2,11,1,04,,超過勤務手当,"1,475,594","1,454,770","20,824"
,,,95,012,2,11,1,05,,議員秘書手当,"12,251,283","12,076,816","174,467"
,,,95,012,2,11,1,05,,非常勤職員手当,"243,034","224,328","18,706"
,,,95,012,2,11,1,05,,休職者給与,"30,367","34,463","△ 4,096"
,,,95,012,2,11,1,05,,短時間勤務職員給与,"159,279","158,534",745
,,,95,012,2,15,1,05,,公務災害補償費,"23,076","23,284",△ 208
,,,95,012,2,11,1,05,,退職手当,"1,205,749","1,399,778","△ 194,029"
,,,95,012,2,11,1,05,,議員秘書退職手当,"307,005","251,849","55,156"
,,,95,012,2,15,1,05,,弔慰金,"41,408","41,408",0
,,,95,089,2,11,1,05,,児童手当,"73,900","70,810","3,090"
,,,95,012,2,12,9,06,,諸謝金,"6,318","6,308",10
,,,95,012,2,12,2,08,,議員旅費,"316,023","315,612",411
,,,95,012,2,12,2,08,,議員文書通信交通滞在費,"5,580,000","5,580,000",0
,,,95,012,2,12,2,08,,議会雑費,"29,700","29,700",0
,,,95,012,2,12,2,08,,職員旅費,"145,210","144,980",230
,,,95,012,2,12,2,08,,赴任旅費,"2,526","2,526",0
,,,95,012,2,12,2,08,,証人等旅費,"11,916","11,821",95
,,,95,012,2,12,3,09,,庁費,"993,005","982,923","10,082"
