所管,組織,,,,,,,,                             項目,,"令和元年度
成立予算額(千円)",補正要求,,,"改令和元年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
皇室費,皇室費,,,,,,,,,,"11,737,259",0,"△ 357,413","△ 357,413","11,379,846"
,,001,,,,,,,内廷費,,"324,000",0,0,0,"324,000"
,,002,,,,,,,宮廷費,,"11,149,027",0,"△ 357,413","△ 357,413","10,791,614"
,,,95,011,2,12,3,09,,庁費,"4,104,493",0,"△ 357,413","△ 357,413","3,747,080"
,,,95,011,2,12,9,06,,諸謝金外6目,"7,044,534",0,0,0,"7,044,534"
,,003,,,,,,,皇族費,,"264,232",0,0,0,"264,232"
国会,衆議院,,,,,,,,,,"73,574,157",0,"△ 765,648","△ 765,648","72,808,509"
,,001,,,,,,,衆議院,,"64,404,501",0,"△ 765,648","△ 765,648","63,638,853"
,,,95,012,2,11,1,02,,職員基本給,"8,764,338",0,"△ 141,939","△ 141,939","8,622,399"
,,,95,012,2,11,1,05,,議員秘書手当,"12,251,283",0,"△ 298,863","△ 298,863","11,952,420"
,,,95,012,2,11,1,05,,短時間勤務職員給与,"159,279",0,"△ 37,614","△ 37,614","121,665"
,,,95,012,2,11,1,05,,退職手当,"1,205,749",0,"△ 119,330","△ 119,330","1,086,419"
,,,95,012,2,11,1,05,,議員秘書退職手当,"307,005",0,"△ 32,923","△ 32,923","274,082"
,,,95,012,2,12,3,09,,議案類印刷費,"657,203",0,"△ 32,903","△ 32,903","624,300"
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"2,402,803",0,"△ 102,076","△ 102,076","2,300,727"
,,,95,012,2,12,9,06,,諸謝金外31目,"38,656,841",0,0,0,"38,656,841"
,,002,,,,,,,衆議院施設費,,"9,162,656",0,0,0,"9,162,656"
,,009,,,,,,,衆議院予備経費,,"7,000",0,0,0,"7,000"
,参議院,,,,,,,,,,"48,942,029","952,204","△ 637,948","314,256","49,256,285"
,,011,,,,,,,参議院,,"40,295,159",0,"△ 637,948","△ 637,948","39,657,211"
,,,95,012,2,11,1,01,,議員歳費,"5,335,640",0,"△ 19,490","△ 19,490","5,316,150"
,,,95,012,2,11,1,02,,職員基本給,"6,554,603",0,"△ 64,995","△ 64,995","6,489,608"
,,,95,012,2,11,1,03,,職員諸手当,"3,399,101",0,"△ 19,544","△ 19,544","3,379,557"
,,,95,012,2,11,1,05,,議員秘書手当,"6,599,964",0,"△ 349,585","△ 349,585","6,250,379"
,,,95,012,2,11,1,05,,非常勤職員手当,"176,342",0,△ 555,△ 555,"175,787"
,,,95,012,2,11,1,05,,短時間勤務職員給与,"83,135",0,"△ 22,282","△ 22,282","60,853"
,,,95,012,2,11,1,05,,議員秘書退職手当,"842,578",0,"△ 55,093","△ 55,093","787,485"
,,,95,012,2,12,3,09,,議案類印刷費,"416,543",0,"△ 36,060","△ 36,060","380,483"
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"1,798,018",0,"△ 70,344","△ 70,344","1,727,674"
,,,95,012,2,12,9,06,,諸謝金外28目,"15,089,235",0,0,0,"15,089,235"
,,012,,,,,,,参議院施設費,,"8,641,870","952,204",0,"952,204","9,594,074"
,,,95,012,1,20,3,09,,施設施工庁費,"64,777","32,450",0,"32,450","97,227"
,,,95,012,1,20,4,15,,施設整備費,"4,307,765","919,754",0,"919,754","5,227,519"
