所管,組織,,,,,,,,,                        項目,令和2年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,,,,,,,,,,"11,573,381","11,737,259","△ 163,878"
,,001,,,,,,,内廷費,,"324,000","324,000",0
,,,95,011,2,12,9,99,,(内廷費),"324,000","324,000",0
,,002,,,,,,,宮廷費,,"10,980,066","11,149,027","△ 168,961"
,,,95,011,2,12,9,06,,諸謝金,"31,584","164,970","△ 133,386"
,,,95,011,2,95,9,07,,報償費,"303,554","673,238","△ 369,684"
,,,95,011,2,12,3,09,,庁費,"2,681,472","4,104,493","△ 1,423,021"
,,,95,011,2,12,3,09,,招宴費,"133,222","135,596","△ 2,374"
,,,95,011,2,12,3,09,,各所修繕,"1,449,082","1,381,442","67,640"
,,,95,199,2,13,3,09,,自動車重量税,"1,342","1,502",△ 160
,,,95,011,2,20,4,15,,施設整備費,"6,335,722","4,640,761","1,694,961"
,,,95,011,2,12,9,17,,交際費,"44,088","47,025","△ 2,937"
,,003,,,,,,,皇族費,,"269,315","264,232","5,083"
,,,95,011,2,12,9,99,,(皇族費),"269,315","264,232","5,083"
国会,衆議院,,,,,,,,,,"66,672,542","73,574,157","△ 6,901,615"
,,001,,,,,,,衆議院,,"64,992,463","64,404,501","587,962"
,,,95,012,2,11,1,01,,議員歳費,"10,206,691","10,162,983","43,708"
,,,95,012,2,11,1,02,,職員基本給,"8,797,336","8,764,338","32,998"
,,,95,012,2,11,1,03,,職員諸手当,"4,541,898","4,479,343","62,555"
,,,95,012,2,11,1,04,,超過勤務手当,"1,479,358","1,475,594","3,764"
,,,95,012,2,11,1,05,,議員秘書手当,"12,360,759","12,251,283","109,476"
,,,95,012,2,11,1,05,,非常勤職員手当,"249,047","243,034","6,013"
,,,95,012,2,11,1,05,,休職者給与,"29,687","30,367",△ 680
,,,95,012,2,11,1,05,,短時間勤務職員給与,"159,366","159,279",87
,,,95,012,2,15,1,05,,公務災害補償費,"19,979","23,076","△ 3,097"
,,,95,012,2,11,1,05,,退職手当,"1,455,755","1,205,749","250,006"
,,,95,012,2,11,1,05,,議員秘書退職手当,"315,613","307,005","8,608"
,,,95,012,2,15,1,05,,弔慰金,"41,408","41,408",0
,,,95,089,2,11,1,05,,児童手当,"72,990","73,900",△ 910
,,,95,012,2,12,9,06,,諸謝金,"6,327","6,318",9
,,,95,012,2,12,2,08,,議員旅費,"316,429","316,023",406
,,,95,012,2,12,2,08,,議員文書通信交通滞在費,"5,580,000","5,580,000",0
,,,95,012,2,12,2,08,,議会雑費,"29,700","29,700",0
,,,95,012,2,12,2,08,,職員旅費,"147,070","145,210","1,860"
,,,95,012,2,12,2,08,,赴任旅費,"2,573","2,526",47
,,,95,012,2,12,2,08,,委員等旅費,"2,517",0,"2,517"
,,,95,012,2,12,2,08,,証人等旅費,"9,494","11,916","△ 2,422"
,,,95,012,2,12,3,09,,庁費,"1,001,790","993,005","8,785"
,,,95,012,2,12,3,09,,情報処理業務庁費,"1,910,894","1,826,743","84,151"
,,,95,012,2,12,3,09,,議員会館管理等運営庁費,"3,618,256","3,467,376","150,880"
,,,95,012,2,12,3,09,,議員特殊乗車券等購入費,"911,955","903,663","8,292"
,,,95,012,2,12,3,09,,国会活動啓発費,"23,026","22,834",192
,,,95,012,2,12,3,09,,議案類印刷費,"562,013","657,203","△ 95,190"
,,,95,012,2,12,3,09,,招へい外国人滞在費,"73,594","72,925",669
,,,95,012,2,12,3,09,,各所修繕,"76,401","77,930","△ 1,529"
,,,95,012,2,12,3,09,,国政調査活動費,"358,509","362,273","△ 3,764"
,,,95,012,2,12,3,09,,公共施設等維持管理運営費,"3,383,935","3,337,436","46,499"
,,,95,199,2,13,3,09,,自動車重量税,"1,699","1,133",566
,,,95,012,2,12,3,11,,立法事務費,"3,627,000","3,627,000",0
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"2,343,384","2,402,803","△ 59,419"
,,,95,012,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"562,990","566,811","△ 3,821"
,,,95,012,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,435,169,266
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,"547,789","601,026","△ 53,237"
