所管,組織,,,,,,,,                             項目,,"令和2年度
成立予算額(千円)",補正要求,,,"改令和2年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
内閣,内閣官房,,,,,,,,,,"165,749,176","5,046,503",0,"5,046,503","170,795,679"
,,001,,,,,,,内閣官房共通費,,"33,972,171","2,566,886",0,"2,566,886","36,539,057"
,,,95,016,2,12,3,09,,庁費,"2,144,432","424,200",0,"424,200","2,568,632"
,,,95,016,2,12,3,09,,情報処理業務庁費,"5,793,875","250,254",0,"250,254","6,044,129"
,,,95,016,2,12,5,14,,重要政策基礎調査委託費,"195,029","1,892,432",0,"1,892,432","2,087,461"
,,,95,016,2,12,9,06,,諸謝金外32目,"25,838,835",0,0,0,"25,838,835"
,,002,,,,,,,内閣官房施設費,,"1,856,929",0,0,0,"1,856,929"
,,005,,,,,,,情報通信技術調達等適正・効率化推進費,,"67,388,003","2,394,140",0,"2,394,140","69,782,143"
,,,95,016,2,12,3,09,,情報処理業務庁費,"62,400,978","194,145",0,"194,145","62,595,123"
,,,95,016,2,12,5,14,,情報通信技術調達等適正・効率化推進委託費,"4,987,025","2,199,995",0,"2,199,995","7,187,020"
,,003,,,,,,,情報収集衛星業務費,,"59,056,153","85,477",0,"85,477","59,141,630"
,,,95,016,2,12,3,09,,情報収集衛星業務庁費,"12,975,163","14,190",0,"14,190","12,989,353"
,,,95,016,2,12,5,14,,情報収集衛星システム開発等委託費,"44,450,057","71,287",0,"71,287","44,521,344"
,,,95,016,2,12,9,06,,諸謝金外7目,"1,630,933",0,0,0,"1,630,933"
,,004,,,,,,,情報収集衛星施設費,,"3,475,920",0,0,0,"3,475,920"
内閣府,内閣本府,,,,,,,,,,"478,960,359","1,059,630,452",0,"1,059,630,452","1,538,590,811"
,,001,,,,,,,内閣本府共通費,,"29,000,507","45,507",0,"45,507","29,046,014"
,,,95,016,2,12,3,09,,情報処理業務庁費,"3,336,509","45,507",0,"45,507","3,382,016"
,,,95,016,2,12,9,06,,諸謝金外36目,"25,663,998",0,0,0,"25,663,998"
,,002,,,,,,,内閣本府施設費,,"2,984,305",0,0,0,"2,984,305"
,,003,,,,,,,公文書等管理政策費,,"49,945",0,0,0,"49,945"
,,004,,,,,,,独立行政法人国立公文書館運営費,,"2,365,019",0,0,0,"2,365,019"
,,059,,,,,,,独立行政法人国立公文書館施設整備費,,"34,433",0,0,0,"34,433"
,,005,,,,,,,政府広報費,,"8,496,503","10,036,268",0,"10,036,268","18,532,771"
,,,95,016,2,12,3,09,,啓発広報費,"7,801,955","10,036,268",0,"10,036,268","17,838,223"
,,,95,016,2,12,9,06,,諸謝金外4目,"694,548",0,0,0,"694,548"
,,050,,,,,,,アイヌ政策推進費,,"2,002,985",0,0,0,"2,002,985"
,,007,,,,,,,経済財政政策費,,"760,723",0,0,0,"760,723"
,,009,,,,,,,地方創生支援費,,"1,379,499","759,000",0,"759,000","2,138,499"
,,,95,016,2,12,5,14,,地方創生支援委託費,"574,793","759,000",0,"759,000","1,333,793"
,,,95,016,2,12,9,06,,諸謝金外6目,"804,706",0,0,0,"804,706"
,,281,,,,,,,新型コロナウイルス感染症対応地方創生推進費,,0,"1,000,000,000",0,"1,000,000,000","1,000,000,000"
,,,95,199,2,81,5,16,,新型コロナウイルス感染症対応地方創生臨時交付金,0,"1,000,000,000",0,"1,000,000,000","1,000,000,000"
,,012,,,,,,,科学技術・イノベーション政策費,,"1,116,358",0,0,0,"1,116,358"
,,196,,,,,,,科学技術イノベーション創造推進費,,"55,500,000","696,724",0,"696,724","56,196,724"
,,,13,073,2,12,9,99,,(科学技術イノベーション創造推進費),"55,500,000","696,724",0,"696,724","56,196,724"
,,199,,,,,,,国立研究開発法人日本医療研究開発機構出資,,0,"20,000,000",0,"20,000,000","20,000,000"
,,,13,073,1,95,9,24,,国立研究開発法人日本医療研究開発機構出資金,0,"20,000,000",0,"20,000,000","20,000,000"
,,006,,,,,,,遺棄化学兵器廃棄処理事業費,,"54,245,901",0,0,0,"54,245,901"
,,013,,,,,,,防災政策費,,"7,808,828","70,983",0,"70,983","7,879,811"
,,,95,016,2,12,3,09,,災害関係調査費,"1,467,502","70,983",0,"70,983","1,538,485"
,,,95,016,2,12,2,08,,職員旅費外11目,"6,341,326",0,0,0,"6,341,326"
,,193,,,,,,,電源開発促進税財源原子力安全規制対策費エネルギー対策特別会計へ繰入,,"12,836,827","70,000",0,"70,000","12,906,827"
,,,63,016,2,30,6,22,,電源開発促進税財源のエネルギー対策特別会計へ繰入,"12,836,827","70,000",0,"70,000","12,906,827"
,,015,,,,,,,沖縄政策費,,"33,798,043","26,800,000",0,"26,800,000","60,598,043"
,,,95,199,1,95,9,24,,沖縄振興開発金融公庫出資金,"200,000","26,800,000",0,"26,800,000","27,000,000"
,,,95,016,2,12,9,06,,諸謝金外29目,"33,598,043",0,0,0,"33,598,043"
,,187,,,,,,,沖縄振興交付金事業推進費,,"101,356,000",0,0,0,"101,356,000"
,,055,,,,,,,沖縄振興特定事業推進費,,"5,500,000","1,000,000",0,"1,000,000","6,500,000"
,,,95,199,2,81,5,16,,沖縄振興特定事業推進費補助金,"5,500,000","1,000,000",0,"1,000,000","6,500,000"
,,188,,,,,,,沖縄北部連携促進特別振興事業費,,"3,450,000",0,0,0,"3,450,000"
,,189,,,,,,,沖縄振興推進調査費,,"50,000",0,0,0,"50,000"
,,022,,,,,,,沖縄教育振興事業費,,"7,996,300",0,0,0,"7,996,300"
,,023,,,,,,,沖縄保健衛生諸費,,"2,187",0,0,0,"2,187"
,,197,,,,,,,沖縄国立大学法人施設整備費,,"8,886,767",0,0,0,"8,886,767"
,,028,,,,,,,沖縄開発事業費,,"110,268,287",0,0,0,"110,268,287"
,,190,,,,,,,沖縄北部連携促進特別振興対策特定開発事業推進費,,"2,619,000",0,0,0,"2,619,000"
,,032,,,,,,,共生社会政策費,,"2,173,078",0,0,0,"2,173,078"
,,033,,,,,,,栄典行政費,,"2,802,894",0,0,0,"2,802,894"
,,034,,,,,,,男女共同参画社会形成促進費,,"976,810","151,970",0,"151,970","1,128,780"
,,,95,016,2,12,9,06,,諸謝金,"229,531","142,000",0,"142,000","371,531"
,,,95,016,2,12,3,09,,庁費,"50,602","5,500",0,"5,500","56,102"
